0,1,2,3
8.0,VIBRATION.,,8-1
,8.1,Purpose of the Tests,8-1
,8.2,Applicability,8-1
,8.2.1 Vibration Test Category Definitions,8.2.1 Vibration Test Category Definitions,8-1
,8.2.1.1 Standard Vibration Test (Category S),8.2.1.1 Standard Vibration Test (Category S),8-1
,,"8.2.1.2 Robust Vibration Test (Categories R, U, U2)",
,"8.2.1.3 High-Level, Short Duration Vibration Test (Categories H, Z)","8.2.1.3 High-Level, Short Duration Vibration Test (Categories H, Z)",8-1
,8.2.2 Test Curve Test Level Selection,8.2.2 Test Curve Test Level Selection,8-2
,8.2.2.1 Test Description _,8.2.2.1 Test Description _,8-2
,Test Curves,Test Curves,8-2
8.3,Vibration Test Requirements,Vibration Test Requirements,8-3
8.4,Vibration Test Level Requirements,Vibration Test Level Requirements,8-4
,8.4.1 Control Level Tolerance Requirements .,8.4.1 Control Level Tolerance Requirements .,8-4
,8.4.1.1 Sinusoidal Control Input .,8.4.1.1 Sinusoidal Control Input .,8-4
,8.4.1.2 Random Control Input,8.4.1.2 Random Control Input,8-4
,8.4.2 Measurement of Acceleration Power Spectral Density _,8.4.2 Measurement of Acceleration Power Spectral Density _,8-4
,8.4.2.1  Analog Analyzer Requirements _,8.4.2.1  Analog Analyzer Requirements _,8-4
,8.4.2.2 Digital Analyzer Requirements,8.4.2.2 Digital Analyzer Requirements,8-5
,8.5 Standard Vibration Test Procedure-Fixed Aircraft. Wing,8.5 Standard Vibration Test Procedure-Fixed Aircraft. Wing,8-5
,Sinusoidal Test Procedure,Sinusoidal Test Procedure,8-5
,Random Test Procedure,Random Test Procedure,8-6
,"8.5.2 8.6 High-Level, Short Duration Vibration Test Procedure _","8.5.2 8.6 High-Level, Short Duration Vibration Test Procedure _",8-6
8.7,Robust Vibration Test Procedure-Fixed - Aircraft. Wing,Robust Vibration Test Procedure-Fixed - Aircraft. Wing,8-6
,8.7.1 Sinusoidal Test Procedure,8.7.1 Sinusoidal Test Procedure,8-6
,8.7.2 Random Test Procedure,8.7.2 Random Test Procedure,8-7
8.8,Vibration Test for Helicopters,Vibration Test for Helicopters,8-8
,,,8-8
,8.8.1 Sine-on-Random Test Procedure Known Helicopter Frequencies,8.8.1 Sine-on-Random Test Procedure Known Helicopter Frequencies,8-8
,8.8.1.1 Test Frequencies,8.8.1.1 Test Frequencies,8-8
,8.8.1.2 Sine and Random Test Levels,8.8.1.2 Sine and Random Test Levels,
,8.8.1.3   Procedure,8.8.1.3   Procedure,8-9
,8.8.2 Sine-on-Random Test Procedure for Category U Unknown Helicopter Frequencies..,8.8.2 Sine-on-Random Test Procedure for Category U Unknown Helicopter Frequencies..,8-10
